Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.7703939080238342,1.9538750648498535,77.87255859375,1.573873706490149,-2.1628724111204707,-112.90086117488086,-1.33354,12.228682,22.588654,9.962429,-4.1152835,-10.3966255,9.179441,-8.865886,-18.235832,7.782923,-13.431424,7.8837037,1.3179616,-0.5698853,9.362068,3.6995108,20.035538,-31.856144,52.863876,1.1207774,3.0378838,4.439249,-7.173696,-21.286098,56.784317,52.480637,18.0786,3.7124252,-9.994883
1,0.7720680236816406,1.9704617261886597,77.87281036376953,1.5311040031642402,-2.1437207830402056,-112.95364564481952,-1.4578345,12.348927,22.622192,10.187998,-4.18527,-10.443416,9.066984,-8.819209,-18.171627,7.8969464,-13.4549265,7.8458176,1.3460591,-0.5076316,9.432993,3.4868042,20.081964,-32.21834,52.587063,1.0336031,3.116906,4.395031,-7.352506,-21.317636,57.056267,52.003353,19.152958,3.9650784,-9.916683
2,0.7759507894515991,1.9954841136932373,77.87248229980469,1.4893861244603703,-2.1260165613735293,-113.00330631346709,-1.5768489,12.465015,22.654066,10.404895,-4.252613,-10.490921,8.961002,-8.773508,-18.111492,8.004534,-13.476868,7.8089285,1.3734114,-0.4496048,9.503943,3.2857296,20.121565,-32.550632,52.320396,0.9503069,3.19617,4.339863,-7.5325594,-21.333109,57.31285,51.55281,20.22439,4.224904,-9.841496
3,0.7800695896148682,2.019335985183716,77.87115478515625,1.4449778887195874,-2.105934549942458,-113.05901985371233,-1.7047678,12.58928,22.688921,10.637134,-4.3243313,-10.537661,8.844801,-8.724453,-18.043856,8.120738,-13.499838,7.769686,1.4009416,-0.38675684,9.573911,3.0584512,20.167088,-32.929966,52.044106,0.8727518,3.2741497,4.3023415,-7.732985,-21.343115,57.596775,51.09862,21.29623,4.472188,-9.768583
4,0.7846056222915649,2.0537586212158203,77.86991882324219,1.3942350729022244,-2.079940906139522,-113.12944394055734,-1.8557827,12.734354,22.73095,10.910301,-4.4083185,-10.582058,8.696566,-8.669707,-17.95648,8.273189,-13.531036,7.7246337,1.4496838,-0.3220392,9.642146,2.7803357,20.272078,-33.45605,51.70587,0.79539067,3.349965,4.3070774,-7.973683,-21.35176,57.93761,50.61733,22.376822,4.6836696,-9.69211
5,0.7866202592849731,2.088966131210327,77.86786651611328,1.3355031015435186,-2.044784951348533,-113.21282471038514,-2.0376852,12.902456,22.77766,11.230005,-4.5042987,-10.621959,8.523046,-8.603501,-17.851583,8.438022,-13.5591955,7.6726003,1.4852015,-0.24681056,9.725789,2.4430974,20.390617,-34.064632,51.32504,0.809614,3.4346757,4.359918,-8.299835,-21.345888,58.367188,50.135452,23.41939,4.8584223,-9.623215
6,0.789508581161499,2.1241650581359863,77.86512756347656,1.2708063596710835,-2.003127973717975,-113.3057504648601,-2.2415178,13.087591,22.827818,11.583244,-4.609048,-10.658549,8.326867,-8.530378,-17.733156,8.6215925,-13.58876,7.6156673,1.5020282,-0.15202254,9.810303,2.0413544,20.471848,-34.731327,50.96335,0.8935095,3.5217633,4.4514365,-8.678816,-21.334019,58.867683,49.655857,24.429514,5.00775,-9.560368
7,0.797957718372345,2.1666224002838135,77.86244201660156,1.2011500631693344,-1.9620416932408706,-113.41493751690912,-2.4534526,13.289617,22.887115,11.963241,-4.72345,-10.6957445,8.114622,-8.450679,-17.597406,8.824602,-13.623379,7.5548916,1.5459617,-0.059220806,9.895461,1.5976024,20.607096,-35.50947,50.54186,0.9342032,3.5889022,4.559622,-9.094518,-21.295858,59.377686,49.16891,25.482702,5.132465,-9.458822
8,0.8060244917869568,2.2174315452575684,77.85970306396484,1.1269801391588137,-1.9295125610949702,-113.54684169745525,-2.6577675,13.508391,22.961544,12.3611355,-4.8476014,-10.737206,7.897711,-8.363331,-17.440594,9.039359,-13.662276,7.4916472,1.5770011,0.04506692,9.998717,1.1071175,20.741457,-36.283195,50.08423,0.9288325,3.6003842,4.64856,-9.572272,-21.244202,59.876797,48.65937,26.620543,5.249279,-9.260443
9,0.81158047914505,2.2650909423828125,77.85401916503906,1.047069132830891,-1.9049738612225218,-113.70412890481168,-2.858087,13.748067,23.052338,12.784786,-4.986051,-10.7869835,7.6647353,-8.26889,-17.259438,9.287423,-13.717368,7.424658,1.6140084,0.15800442,10.114273,0.5664228,20.892616,-37.105484,49.595455,0.8843161,3.5476346,4.7268934,-10.098345,-21.170399,60.357403,48.129387,27.870308,5.3708158,-8.947217
