Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.029646502807736397,2.2888221740722656,78.02242279052734,0.9404977618807152,-1.5249942540695358,-92.7810683933677,1.935278,6.4175696,4.923174,8.938287,-8.20969,-7.2375283,2.747628,-8.321138,-9.455566,8.553497,-11.890596,6.720899,-2.953214,-0.60733426,6.747395,3.6779406,20.894958,-34.453014,56.049522,18.438946,-2.8471594,-4.8253083,0.72509825,-15.90168,26.004053,60.330708,-17.291044,-2.4296424,-7.032248
1,0.02876417711377144,2.2890493869781494,78.02234649658203,0.9472487930294416,-1.527459753328826,-92.78161556363477,1.937604,6.408673,4.9258423,8.93356,-8.1920185,-7.243879,2.7454314,-8.330345,-9.452191,8.561262,-11.893124,6.719855,-2.947555,-0.61927634,6.7562003,3.6782355,20.906454,-34.45544,56.034164,18.45874,-2.851965,-4.8260217,0.7121434,-15.9009905,26.007969,60.342674,-17.305567,-2.4255226,-7.019466
2,0.026832200586795807,2.2917401790618896,78.02131652832031,0.9562190657594081,-1.5300428950452563,-92.78234886418525,1.9421418,6.3980727,4.929397,8.924456,-8.170349,-7.2513227,2.7416945,-8.341208,-9.448044,8.572698,-11.897343,6.7184434,-2.9481654,-0.62884516,6.76311,3.685374,20.913887,-34.45657,56.013798,18.476753,-2.8543155,-4.825155,0.7052335,-15.900118,26.008186,60.35184,-17.332663,-2.4211996,-7.006464
3,0.029895924031734467,2.2914719581604004,78.0260238647461,0.9625676572007442,-1.532670880908464,-92.78298946520866,1.9458619,6.3895297,4.9320407,8.917615,-8.153302,-7.2563505,2.7396696,-8.349862,-9.4447975,8.580489,-11.900124,6.7179294,-2.9510453,-0.638757,6.7679133,3.691917,20.924976,-34.455845,55.997593,18.48974,-2.8587387,-4.8258014,0.7127654,-15.897471,26.001036,60.34823,-17.367947,-2.4175785,-6.9943194
4,0.03235301002860069,2.2940523624420166,78.02941131591797,0.9661519260510009,-1.5355423447525092,-92.78389429303711,1.9476514,6.384821,4.9332776,8.91758,-8.148189,-7.2550607,2.7400684,-8.354582,-9.442367,8.583376,-11.901097,6.7202015,-2.9450665,-0.6447898,6.7771745,3.693901,20.931015,-34.45721,55.97946,18.497244,-2.8604777,-4.8279996,0.7075935,-15.895793,26.001198,60.351345,-17.37699,-2.4157934,-6.9859715
5,0.033563386648893356,2.2948694229125977,78.02922821044922,0.9652590548009671,-1.5389367062823411,-92.78571879013369,1.9463148,6.3865304,4.9326887,8.928868,-8.163175,-7.24296,2.7438152,-8.35257,-9.440604,8.57944,-11.900063,6.7270975,-2.9377296,-0.6459789,6.788701,3.6937742,20.937216,-34.45907,55.95999,18.481714,-2.8618627,-4.8346143,0.7001047,-15.893595,26.005968,60.353367,-17.36812,-2.417606,-6.9827013
6,0.031481608748435974,2.297558069229126,78.02491760253906,0.961516328604159,-1.541979207176746,-92.78775255327582,1.9481248,6.3914766,4.9312096,8.934789,-8.185162,-7.2229724,2.7487895,-8.346979,-9.43955,8.571598,-11.898096,6.737502,-2.9307632,-0.6431406,6.797953,3.694088,20.938381,-34.459015,55.943035,18.45486,-2.8634548,-4.8428273,0.70007026,-15.892932,26.008047,60.348938,-17.354967,-2.4220026,-6.982068
7,0.029344340786337852,2.2989659309387207,78.02246856689453,0.9574780264049139,-1.545754897611954,-92.78967260107977,1.9465227,6.3974905,4.928931,8.950059,-8.212473,-7.2033663,2.7554502,-8.340409,-9.439352,8.562355,-11.895477,6.747643,-2.9251385,-0.63940966,6.8089757,3.693394,20.939959,-34.45905,55.92559,18.426092,-2.863777,-4.851153,0.70041734,-15.891746,26.012465,60.340683,-17.337488,-2.4268796,-6.9829035
8,0.03324069827795029,2.3011624813079834,78.02191925048828,0.9544902788476551,-1.5491730032775284,-92.78906693709851,1.945517,6.4014635,4.9251094,8.958998,-8.226285,-7.1923013,2.7630866,-8.335818,-9.442572,8.552157,-11.891148,6.7537956,-2.9290535,-0.63718474,6.816966,3.6967087,20.942583,-34.458122,55.909008,18.409603,-2.8626666,-4.8547397,0.70930403,-15.888879,26.018757,60.322178,-17.327452,-2.4296503,-6.9835954
9,0.02726319059729576,2.3014044761657715,78.02391052246094,0.9584981498965205,-1.5510496410264638,-92.78472207293301,1.9419527,6.3977203,4.919392,8.963461,-8.221768,-7.192385,2.765139,-8.339851,-9.450091,8.553142,-11.890961,6.7556157,-2.929628,-0.6420576,6.8228707,3.6977644,20.943909,-34.459904,55.898296,18.426876,-2.863101,-4.850696,0.7104975,-15.887038,26.027357,60.305096,-17.310944,-2.4290526,-6.979392
