Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.7106965184211731,2.54986834526062,77.65257263183594,0.774291789919919,-0.8299045644289702,-85.5625039304919,5.6916904,4.8601933,24.092901,7.4643383,-12.719764,-5.4937997,6.0648623,-10.479946,-26.773647,9.951249,-12.128685,9.607336,-1.1630163,-0.32001802,4.9107585,6.13931,15.778791,-17.78666,65.62142,-8.276289,1.6800618,-9.979626,-0.43060175,-14.90377,31.097368,63.804974,21.765524,11.591491,6.4049487
1,0.7268112897872925,2.553823471069336,77.65177917480469,0.7822902622818071,-0.8273264800760899,-85.5710644145001,5.692785,4.8369427,24.10638,7.452133,-12.717036,-5.4832754,6.0004163,-10.531377,-26.759436,10.080632,-12.169315,9.617004,-1.1459612,-0.34087357,4.8986287,6.096401,15.831984,-17.610594,65.73824,-8.171079,1.6267393,-10.046999,-0.4454582,-14.928564,31.080692,63.89358,21.775776,11.520208,6.454972
2,0.7396613955497742,2.5606091022491455,77.65130615234375,0.7903059869990278,-0.8243800221302775,-85.5796267670842,5.6955867,4.8125243,24.120377,7.434985,-12.711503,-5.4731965,5.9359226,-10.582807,-26.745415,10.209459,-12.209736,9.626244,-1.1370419,-0.37362415,4.894589,6.088543,15.918339,-17.423185,65.802086,-8.068461,1.5769672,-10.133056,-0.458742,-14.954269,31.079655,63.965996,21.790876,11.444581,6.5099573
3,0.7512047290802002,2.5644869804382324,77.65086364746094,0.7978930055207781,-0.821711811751913,-85.58827482373212,5.696394,4.789003,24.133574,7.4230237,-12.708791,-5.462348,5.870254,-10.634889,-26.730856,10.341251,-12.251854,9.636581,-1.1281044,-0.41296962,4.8930984,6.086041,16.022211,-17.229702,65.86363,-7.9689655,1.5295651,-10.206447,-0.4747851,-14.977704,31.065943,64.040665,21.80452,11.376417,6.5634565
4,0.7655856013298035,2.570403814315796,77.64915466308594,0.8045435878870358,-0.8201422297282475,-85.59715558823588,5.6911774,4.7684216,24.144588,7.427096,-12.715273,-5.449507,5.8022976,-10.6881275,-26.714935,10.478879,-12.296679,9.6495,-1.1227504,-0.45842376,4.8951488,6.0837355,16.146069,-17.016865,65.94031,-7.871481,1.4857948,-10.242749,-0.4988381,-15.001458,31.025276,64.12427,21.81527,11.327652,6.61225
5,0.7806059718132019,2.5804600715637207,77.64849090576172,0.8101553924414187,-0.8207691157438833,-85.60551190184479,5.6795444,4.752349,24.151731,7.450695,-12.733228,-5.434892,5.734403,-10.741204,-26.698803,10.619784,-12.344239,9.667446,-1.1238167,-0.51101834,4.903666,6.081623,16.292301,-16.783907,66.03683,-7.778768,1.4464148,-10.230222,-0.5329735,-15.026386,30.946611,64.217384,21.821394,11.311814,6.6576896
6,0.7950277328491211,2.5838260650634766,77.6464614868164,0.8139897936263332,-0.8227965673124722,-85.61348903503989,5.6617804,4.740321,24.155876,7.491823,-12.761451,-5.4190097,5.6659045,-10.794316,-26.682312,10.764335,-12.394527,9.688888,-1.1285216,-0.5700896,4.917726,6.0822964,16.459126,-16.537504,66.14281,-7.6909804,1.4108137,-10.1837,-0.5727112,-15.0524435,30.840588,64.314,21.824823,11.319566,6.700977
7,0.810876190662384,2.588547945022583,77.64273071289062,0.8199417621697422,-0.8244062852978967,-85.62276348987695,5.642033,4.727206,24.160795,7.5357037,-12.79082,-5.4008694,5.5915475,-10.850971,-26.662945,10.918634,-12.447919,9.7096,-1.1317883,-0.63488436,4.9323783,6.085793,16.645615,-16.274038,66.252174,-7.601289,1.3785065,-10.119967,-0.6129082,-15.08253,30.721367,64.41123,21.82726,11.327654,6.7389007
8,0.8310055136680603,2.601611614227295,77.64085388183594,0.8265989326174037,-0.8231964420194225,-85.63517948309764,5.6234274,4.708453,24.170036,7.569585,-12.813341,-5.379517,5.50491,-10.915005,-26.637915,11.091961,-12.507038,9.725314,-1.1291294,-0.70437545,4.9430413,6.092605,16.851307,-15.990438,66.35829,-7.5036907,1.3487943,-10.055842,-0.6484374,-15.122212,30.604744,64.505745,21.831793,11.31312,6.7680287
9,0.8502343893051147,2.6143674850463867,77.63973236083984,0.8401151134033468,-0.8198898830316387,-85.65199240447522,5.6108794,4.6791816,24.185642,7.5860944,-12.824959,-5.3528833,5.4039893,-10.991006,-26.60456,11.2897625,-12.574194,9.734141,-1.1186272,-0.77970093,4.9494357,6.1041884,17.074556,-15.686949,66.45995,-7.391239,1.3237063,-9.983773,-0.672905,-15.175103,30.498112,64.586464,21.846415,11.268849,6.7809176
