Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.4426858425140381,-1.1001167297363281,78.63578033447266,-0.39516732875561705,-2.5755833085992417,-98.32726111399376,11.693404,7.6748166,19.319832,6.9353857,-11.727371,-8.260518,7.3582835,-5.3409667,-8.390057,7.5832562,-11.592459,5.913668,-3.9275482,0.6295688,11.901426,6.1468163,16.58794,-26.240622,55.263134,4.760767,0.6507476,-7.3112073,-2.2436922,-19.4086,49.912098,55.784985,-11.652963,-1.9715048,1.0257311
1,-0.44415566325187683,-1.1474385261535645,78.63876342773438,-0.39650092757433075,-2.5128430508322523,-98.35571737151342,11.6675825,7.673946,19.364109,6.935713,-11.714348,-8.237039,7.3083797,-5.3427796,-8.389739,7.603759,-11.571942,5.885725,-3.9508374,0.61489844,11.991723,6.049648,16.613632,-26.232819,55.25517,4.6649837,0.6666984,-7.2609406,-2.3070803,-19.455889,49.8868,55.838226,-11.64653,-1.9446485,1.0300461
2,-0.44648969173431396,-1.1910563707351685,78.64227294921875,-0.4008578383890284,-2.4547458437661294,-98.38938831580573,11.649457,7.6758146,19.413008,6.9352946,-11.70277,-8.213045,7.2604394,-5.3417053,-8.383259,7.628644,-11.551004,5.855594,-3.96638,0.59979093,12.0937195,5.9710565,16.661968,-26.2245,55.21035,4.562325,0.6893543,-7.2127185,-2.3531697,-19.530209,49.852646,55.852005,-11.640265,-1.9148918,1.0351267
3,-0.45090872049331665,-1.2386406660079956,78.64368438720703,-0.40051301291567254,-2.3873277225231155,-98.41267955122048,11.61642,7.6724825,19.452726,6.935528,-11.688251,-8.189168,7.2076993,-5.3461967,-8.389082,7.6458697,-11.531056,5.830292,-3.9896824,0.578433,12.18535,5.8820972,16.706459,-26.220308,55.183918,4.4653826,0.7007382,-7.16833,-2.4091556,-19.588072,49.822575,55.884544,-11.633729,-1.8897169,1.0424652
4,-0.4573192596435547,-1.2845513820648193,78.64800262451172,-0.3892353564144249,-2.2963874434381606,-98.4099938623799,11.545995,7.6572495,19.469868,6.935175,-11.664474,-8.163015,7.1393557,-5.3640785,-8.425264,7.649511,-11.515618,5.8170133,-4.019325,0.5385596,12.26955,5.7920923,16.786129,-26.234985,55.141964,4.3726926,0.686151,-7.142269,-2.446463,-19.676306,49.779305,55.864014,-11.625337,-1.8732576,1.0618378
5,-0.46648961305618286,-1.32451331615448,78.652099609375,-0.366028108899447,-2.1825765320999784,-98.38998647681763,11.442878,7.6290727,19.464375,6.933592,-11.637713,-8.141464,7.056163,-5.3953676,-8.48267,7.6348424,-11.503773,5.815384,-4.062292,0.4864138,12.327698,5.680494,16.856668,-26.269178,55.112373,4.3558984,0.65656185,-7.1387506,-2.5021718,-19.74016,49.74604,55.881195,-11.620377,-1.882545,1.0887607
6,-0.4775254428386688,-1.3668811321258545,78.65547180175781,-0.33512185018882357,-2.051830935366804,-98.35629232980544,11.314219,7.5937467,19.44198,6.9330397,-11.608707,-8.123045,6.960924,-5.4354143,-8.556472,7.609784,-11.496102,5.822285,-4.1099095,0.42333966,12.3733015,5.564556,16.94131,-26.321749,55.067585,4.385571,0.6161979,-7.1545773,-2.5574303,-19.803598,49.710617,55.895123,-11.618104,-1.9091996,1.1229494
7,-0.4876452386379242,-1.4016938209533691,78.65544128417969,-0.30057050614734865,-1.8975446527768953,-98.28353751510133,11.111549,7.565595,19.391106,7.006502,-11.6024475,-8.094525,6.855182,-5.483028,-8.674884,7.5676775,-11.489098,5.840909,-4.1693416,0.34423387,12.413556,5.4403944,17.063866,-26.38546,55.04889,4.3346353,0.53448355,-7.1713386,-2.597888,-19.883846,49.654488,55.86096,-11.610173,-1.9248464,1.1667876
8,-0.5021892786026001,-1.4294816255569458,78.659912109375,-0.2632799234016792,-1.7147869442953254,-98.15083291764238,10.820043,7.542703,19.308172,7.1569104,-11.606648,-8.041307,6.7417154,-5.540149,-8.861208,7.50302,-11.479984,5.873747,-4.2624927,0.25578886,12.433776,5.2523136,17.162823,-26.439323,55.20605,4.0966134,0.37550443,-7.1566525,-2.6533933,-19.940231,49.58994,55.836536,-11.586842,-1.9031624,1.2174034
9,-0.5186635851860046,-1.456451177597046,78.6644058227539,-0.21419933969323332,-1.4925321114753456,-97.95920906552399,10.248543,7.579451,19.154587,7.779034,-11.8337755,-7.960526,6.60825,-5.617109,-9.11848,7.4153833,-11.469795,5.9258857,-4.378234,0.13755542,12.431936,5.0146794,17.285286,-26.509722,55.527016,3.553023,0.07504397,-7.10815,-2.692021,-19.998833,49.477077,55.74363,-11.58059,-1.817288,1.2859465
