Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.1932660341262817,0.9767612218856812,78.44195556640625,0.7023609039680923,-0.16952381475982922,-88.53570998230701,5.163302,4.6235895,8.238802,7.037252,-11.500818,-5.9018273,5.020788,-7.5929255,-9.635717,7.6866193,-11.675156,8.609382,-2.5013647,-1.6599493,4.036065,-6.0356135,14.16418,-52.469658,62.317257,7.2074866,5.1007247,4.865408,-0.23798293,-10.092136,29.081507,59.811684,-18.263908,-0.3963128,0.8780983
1,1.2306240797042847,1.0116119384765625,78.44308471679688,0.7103835156055216,-0.1186752024371989,-88.51227523374111,5.053994,4.5768213,8.213317,7.060758,-11.480825,-5.840739,4.9131374,-7.642031,-9.642191,7.728481,-11.658095,8.65326,-2.532639,-1.6828804,4.0933957,-6.077518,14.209571,-52.66825,62.323524,7.197565,5.1568832,4.842319,-0.2051351,-10.108347,28.746874,59.40541,-18.16162,-0.50828743,0.9598089
2,1.265882134437561,1.0519566535949707,78.44522094726562,0.7179343402405162,-0.07076159309711698,-88.49045946656825,4.9101095,4.536565,8.185891,7.16769,-11.506282,-5.7791653,4.8098307,-7.689989,-9.646645,7.767632,-11.640246,8.697647,-2.530416,-1.7068902,4.156668,-6.1321225,14.262456,-52.894672,62.32679,7.1655493,5.217923,4.8218193,-0.14919725,-10.13371,28.382627,58.98049,-18.086163,-0.6199491,1.0621563
3,1.302148699760437,1.0927695035934448,78.44595336914062,0.7265665772059778,-0.017020900307422395,-88.46539783150476,4.711253,4.501144,8.152186,7.3743167,-11.582419,-5.717988,4.6978173,-7.740431,-9.654845,7.8117537,-11.623685,8.741077,-2.5250783,-1.7311692,4.2219334,-6.1861362,14.327649,-53.154522,62.309093,7.15041,5.272435,4.795529,-0.0792884,-10.167182,27.98804,58.525238,-17.97823,-0.7359698,1.1357005
4,1.3380159139633179,1.137485384941101,78.44676971435547,0.735290755101117,0.051329954103744996,-88.43235563987015,4.4936113,4.4603477,8.112551,7.5741186,-11.648337,-5.6579394,4.5601172,-7.798209,-9.6719055,7.874478,-11.610951,8.78243,-2.537174,-1.7569424,4.2834673,-6.2368383,14.401262,-53.46884,62.268364,7.185473,5.308153,4.7559414,-0.0023125226,-10.196977,27.549534,58.032528,-17.783148,-0.8619852,1.1305318
5,1.379415512084961,1.1801456212997437,78.44725036621094,0.7465811984738349,0.13341183286639074,-88.38952519952025,4.2499237,4.4151225,8.065976,7.7848887,-11.711924,-5.600264,4.40808,-7.8623166,-9.703059,7.936233,-11.598769,8.817653,-2.5603378,-1.7860756,4.341512,-6.2888474,14.486892,-53.87006,62.2116,7.27845,5.3087783,4.707442,0.08877297,-10.217239,27.037695,57.495342,-17.46991,-0.9996473,1.0174148
6,1.426091194152832,1.2248866558074951,78.44689178466797,0.7569957875794949,0.22560102921176234,-88.33968048723625,3.9947622,4.3655605,8.0150175,7.9870877,-11.767762,-5.544362,4.2442946,-7.931246,-9.7440605,7.999932,-11.587102,8.848571,-2.5895302,-1.8195775,4.39691,-6.3415604,14.585312,-54.33762,62.140087,7.4107747,5.2849493,4.6520014,0.18784808,-10.226447,26.469782,56.930145,-17.074524,-1.1471977,0.82724303
7,1.472565770149231,1.2806570529937744,78.44860076904297,0.7699563214255337,0.33197054285725947,-88.28465687170423,3.7274458,4.3097124,7.959816,8.171656,-11.809417,-5.4879413,4.053933,-8.006815,-9.7876835,8.08209,-11.576412,8.883061,-2.624236,-1.8596755,4.4489145,-6.3883824,14.69664,-54.836395,62.031605,7.5746803,5.266842,4.5778017,0.2840957,-10.225065,25.873775,56.348057,-16.649721,-1.3056979,0.60352015
8,1.519281268119812,1.3357645273208618,78.45030212402344,0.785534627645987,0.456569649365636,-88.2260555139159,3.450359,4.245571,7.9006324,8.322605,-11.828393,-5.4287314,3.825694,-8.090238,-9.827132,8.192283,-11.563907,8.929059,-2.6646328,-1.9084984,4.4969254,-6.42273,14.821117,-55.33,61.865288,7.763144,5.284629,4.473007,0.366457,-10.216006,25.277845,55.760406,-16.248606,-1.4754792,0.3893847
9,1.5735989809036255,1.3882564306259155,78.4542236328125,0.8027107802716362,0.5985340659790603,-88.16116540913639,3.159203,4.1741,7.833947,8.449614,-11.828279,-5.3647013,3.5656264,-8.179833,-9.864277,8.322613,-11.547408,8.990567,-2.7151344,-1.9647986,4.5398,-6.4490438,14.9604,-55.84518,61.640038,8.035583,5.340105,4.3221903,0.43740293,-10.200858,24.681683,55.15749,-15.870142,-1.6587231,0.19434743
