Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.010953241027891636,2.1391427516937256,78.0097885131836,-0.463769932174429,-1.4537348043815204,-88.52860900212264,2.3538487,5.29336,15.366637,10.277516,-12.029843,-3.6611745,2.066085,-5.7896533,-10.30166,12.942167,-13.01116,5.7132344,-4.2285833,0.19810702,7.5960474,-3.4323702,12.464129,-35.722218,62.922016,17.421211,-3.6252017,5.856433,-2.8657491,-11.308545,30.945095,64.28281,1.3580247,-0.4054789,-1.9554923
1,0.013543766923248768,2.1396677494049072,78.0036849975586,-0.4605448358666186,-1.4771885799357354,-88.5277453114235,2.3253465,5.310506,15.35691,10.406721,-12.126596,-3.7407246,2.0482738,-5.7920723,-10.270236,13.041494,-13.111164,5.7736983,-4.203169,0.17835915,7.6506114,-3.5027268,12.493324,-35.717846,62.956314,17.390116,-3.643779,5.775432,-3.0034683,-11.333737,31.131279,64.371445,1.2763138,-0.38026825,-1.8949467
2,0.010100523009896278,2.1419780254364014,77.9974594116211,-0.4577398788197325,-1.4991831250573713,-88.52553081642017,2.300054,5.3270884,15.346265,10.525243,-12.216587,-3.8234794,2.030799,-5.7957172,-10.238888,13.137201,-13.208133,5.832123,-4.211386,0.16060282,7.7093315,-3.5308304,12.540067,-35.663208,62.95003,17.369974,-3.6655378,5.7038217,-3.1355617,-11.37523,31.350857,64.44671,1.2083242,-0.3532372,-1.8410317
3,0.005324909929186106,2.1491494178771973,77.9891357421875,-0.45339107131471773,-1.5241541079826764,-88.52620952147052,2.2661333,5.3473516,15.337327,10.671784,-12.322599,-3.8988695,2.0101542,-5.8001585,-10.206655,13.2459545,-13.313202,5.894644,-4.187114,0.1409218,7.766016,-3.6119192,12.569533,-35.664513,62.98842,17.337595,-3.6835046,5.608438,-3.2865803,-11.402858,31.549967,64.534645,1.1291815,-0.32841235,-1.7720307
4,0.0028489052783697844,2.1523871421813965,77.97815704345703,-0.4505892919940458,-1.5559154885894158,-88.53389859749088,2.2120023,5.3759346,15.332352,10.8832,-12.466311,-3.9561517,1.9834934,-5.80491,-10.1729,13.381501,-13.435444,5.967285,-4.189871,0.122811906,7.840356,-3.6990173,12.63548,-35.677456,62.977047,17.29586,-3.6930008,5.438267,-3.4962833,-11.461801,31.847136,64.59024,1.0784136,-0.30090314,-1.6630157
5,0.00029796158196404576,2.153573513031006,77.96321868896484,-0.44920093062942407,-1.592739948843956,-88.54667394587317,2.1221921,5.4152417,15.327375,11.189329,-12.662405,-3.9857988,1.9449867,-5.8118033,-10.142063,13.555304,-13.583912,6.058672,-4.1745977,0.10286827,7.9323225,-3.819305,12.7271805,-35.732243,62.93573,17.180004,-3.6964657,5.17479,-3.7461886,-11.538027,32.159805,64.624374,1.0703769,-0.26964414,-1.4939762
6,-0.0015928458888083696,2.153545618057251,77.94902038574219,-0.4491865640220272,-1.6334191098350952,-88.56322118186277,2.0061324,5.463839,15.321999,11.5650625,-12.897136,-3.9952924,1.8989618,-5.8201985,-10.113297,13.754828,-13.749695,6.1631436,-4.151096,0.08171272,8.036913,-3.9600654,12.839475,-35.81489,62.869175,17.013584,-3.694558,4.844039,-4.0284944,-11.6260195,32.493057,64.64368,1.0939604,-0.23550288,-1.2828026
7,-0.004936052020639181,2.1580841541290283,77.93315887451172,-0.44938361542588134,-1.6831384334636639,-88.58908030384002,1.8915119,5.5192013,15.324904,11.96546,-13.150793,-3.9994771,1.8506149,-5.827904,-10.076542,13.975262,-13.925879,6.265521,-4.1222453,0.05905754,8.154727,-4.1455684,12.979636,-35.974392,62.795963,16.903322,-3.6792438,4.4716926,-4.359849,-11.734021,32.90269,64.62265,1.0796498,-0.20524566,-1.0554459
8,-0.008214034140110016,2.1649973392486572,77.91568756103516,-0.45087214707660667,-1.7466329034676717,-88.62979436701032,1.8069887,5.5777435,15.345484,12.341889,-13.401768,-4.0137377,1.8054522,-5.8327684,-10.021715,14.210644,-14.10341,6.3508186,-4.087726,0.034923423,8.28845,-4.3997574,13.157443,-36.26378,62.73172,16.954268,-3.6456897,4.082667,-4.752306,-11.874707,33.442333,64.52682,0.95890534,-0.18592107,-0.8365703
9,-0.013266894966363907,2.174414873123169,77.89794158935547,-0.4548490983269414,-1.829357241693088,-88.68743970291113,1.7593313,5.6398535,15.38716,12.695698,-13.654771,-4.039616,1.7701645,-5.8331227,-9.944149,14.458787,-14.284595,6.415842,-4.044303,0.011153737,8.445486,-4.725236,13.376548,-36.706512,62.671375,17.190659,-3.591355,3.6252153,-5.2067146,-12.05394,34.152943,64.36217,0.74811274,-0.1892694,-0.6220176
10,-0.018753763288259506,2.1827471256256104,77.8807601928711,-0.457816374392054,-1.9271461857770966,-88.75887345474398,1.7337635,5.7063675,15.4449215,13.046478,-13.916835,-4.0701613,1.7390623,-5.8302355,-9.849901,14.725023,-14.472298,6.468438,-3.9931772,-0.011275469,8.626954,-5.106111,13.636445,-37.271725,62.595375,17.557598,-3.523197,3.1031425,-5.710324,-12.269815,34.999832,64.12566,0.47464982,-0.20997061,-0.3997924
11,-0.019276894629001617,2.1948630809783936,77.86079406738281,-0.46383930775914617,-2.0308081292834435,-88.841677581302,1.7268623,5.773764,15.515501,13.375944,-14.171716,-4.1080837,1.7098105,-5.8239436,-9.7459755,14.990895,-14.655369,6.5104747,-3.9407194,-0.0357259,8.823103,-5.5362773,13.942145,-37.935627,62.49125,18.038363,-3.4438112,2.623414,-6.2549586,-12.527022,35.923283,63.76738,0.084085636,-0.22341587,-0.18227886
12,-0.01329796202480793,2.1993703842163086,77.84303283691406,-0.4678408750294635,-2.131067821655123,-88.93372180773409,1.7322341,5.839298,15.595346,13.671443,-14.406462,-4.1560087,1.6776478,-5.8150787,-9.639058,15.243957,-14.8255005,6.543603,-3.891573,-0.064804345,9.026121,-6.0086126,14.302168,-38.67866,62.341476,18.613672,-3.3537292,2.292048,-6.828455,-12.833766,36.863,63.234325,-0.47750628,-0.20886232,0.019663503
