Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.22718016803264618,2.562957525253296,78.41712951660156,0.49096118257557214,-1.9624511080284326,-91.94010058683347,7.1724186,3.7105424,14.200551,6.9713616,-9.229329,-4.820673,6.1871867,-7.7819533,-22.326597,10.546674,-14.21612,6.2717066,-1.2434052,-0.115147,6.4989476,-9.249856,9.627567,-53.20418,59.459698,9.2727,3.7178571,-4.9152617,-9.573945,-9.644616,46.388134,58.522404,19.161531,9.576538,-10.333986
1,-0.23817354440689087,2.5854992866516113,78.4222183227539,0.48716603158259386,-1.9058447992517764,-91.88830847742982,7.0719504,3.7205136,14.147313,6.97425,-9.19451,-4.8191476,6.1468854,-7.760901,-22.381895,10.477259,-14.160996,6.269142,-1.2365249,-0.12233022,6.50416,-9.2973175,9.622156,-53.201847,59.45626,9.253892,3.7116835,-4.905771,-9.582325,-9.642216,46.39971,58.528584,19.152136,9.564081,-10.350908
2,-0.25197890400886536,2.6078076362609863,78.42741394042969,0.4858309816185936,-1.8565068481195741,-91.84100010485372,6.9880805,3.7265296,14.099355,6.963134,-9.154773,-4.8175244,6.109908,-7.7441072,-22.4322,10.418257,-14.11196,6.2688665,-1.2262826,-0.12888224,6.5057416,-9.326788,9.620886,-53.20075,59.443077,9.237342,3.7056575,-4.897098,-9.582086,-9.641639,46.406277,58.533966,19.140461,9.553495,-10.365558
3,-0.2632337510585785,2.6324462890625,78.4338607788086,0.4784980148712157,-1.793267092343151,-91.7838858540397,6.8684397,3.7425046,14.03955,6.9856586,-9.1273365,-4.81651,6.0700164,-7.715959,-22.493956,10.331255,-14.046986,6.2637935,-1.236212,-0.13443482,6.5188603,-9.393886,9.611565,-53.184193,59.449997,9.215019,3.6982548,-4.8867793,-9.607727,-9.637267,46.443207,58.54167,19.144726,9.538474,-10.388011
4,-0.2735361158847809,2.6616504192352295,78.44233703613281,0.47558142761475986,-1.736082559576305,-91.72947874838268,6.7625384,3.7528894,13.982981,6.9878907,-9.08867,-4.816693,6.0191193,-7.695792,-22.549198,10.275348,-13.997487,6.2513638,-1.2295918,-0.14427862,6.5359387,-9.441724,9.604782,-53.168507,59.4415,9.215555,3.6909862,-4.8698926,-9.620009,-9.634095,46.467144,58.54162,19.1291,9.536029,-10.395996
5,-0.28829288482666016,2.6928207874298096,78.44926452636719,0.47005969466952213,-1.6814207989860235,-91.67127117728093,6.653302,3.765627,13.921868,6.99312,-9.048818,-4.8197374,5.962056,-7.675165,-22.605217,10.232726,-13.954977,6.227514,-1.238834,-0.15554696,6.569566,-9.487906,9.595728,-53.116356,59.43263,9.253884,3.6790774,-4.847338,-9.650736,-9.62936,46.51699,58.54488,19.110106,9.545394,-10.390801
6,-0.3054121136665344,2.73122501373291,78.4555892944336,0.46391071740104717,-1.6281214112849307,-91.61156995107982,6.5425625,3.7793252,13.858726,6.99824,-9.007019,-4.8248005,5.8989563,-7.654897,-22.660442,10.201833,-13.918633,6.1954193,-1.2289187,-0.1720594,6.613218,-9.535174,9.591983,-53.076385,59.412807,9.307486,3.6684299,-4.8190947,-9.6732235,-9.627184,46.548817,58.534096,19.07442,9.564535,-10.374122
7,-0.3166998624801636,2.770573377609253,78.46295928955078,0.4592724613423571,-1.5706143391018748,-91.55041068302575,6.4245005,3.791263,13.793977,7.0008125,-8.960716,-4.829116,5.823102,-7.6377273,-22.715826,10.182061,-13.885369,6.160036,-1.2361988,-0.18693063,6.661949,-9.580706,9.587639,-53.007477,59.38964,9.366586,3.6550436,-4.788735,-9.706498,-9.623814,46.60883,58.526337,19.044382,9.585481,-10.357528
8,-0.32712358236312866,2.8128631114959717,78.47083282470703,0.457094205064712,-1.5028410043648615,-91.48832018305065,6.292067,3.799851,13.728201,7.0006504,-8.907791,-4.83024,5.72936,-7.6251845,-22.772013,10.169425,-13.850799,6.126042,-1.2138281,-0.20451348,6.7076426,-9.643696,9.587032,-52.98362,59.369114,9.383098,3.641389,-4.7524776,-9.725874,-9.622938,46.644287,58.511818,19.014986,9.600639,-10.347423
9,-0.34691688418388367,2.863081693649292,78.48021697998047,0.45938985250427866,-1.4218349079823085,-91.42492148714096,6.141594,3.80371,13.661167,6.9968123,-8.847504,-4.82692,5.6123,-7.6192985,-22.829292,10.166902,-13.815312,6.094675,-1.19424,-0.21852708,6.7495303,-9.720655,9.587831,-52.970325,59.34835,9.358836,3.6213233,-4.7129126,-9.748932,-9.622962,46.694553,58.499897,18.997,9.610362,-10.349905
