Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.056598957628011703,2.0421667098999023,78.41751861572266,0.01821817559919449,0.037921289854248814,-88.70927033882442,0.86851275,2.4439232,8.618109,8.200497,-9.34348,-1.8995041,1.156819,-2.8012626,-6.883683,8.515539,-10.608788,2.254407,-1.5013162,1.9012018,5.0627537,0.42842266,11.184102,-18.931564,67.7503,-4.2875547,-1.7377417,-4.259104,0.2131417,-9.704188,6.3892546,62.61338,-15.712655,0.8480319,-5.065674
1,-0.05637003481388092,2.042736768722534,78.41741180419922,0.017476417155718314,0.03196813437728391,-88.71099096437791,0.87345535,2.4444797,8.617534,8.205175,-9.347174,-1.8958397,1.1635312,-2.801003,-6.883389,8.516402,-10.611514,2.256935,-1.5118331,1.8985212,5.0712914,0.43484646,11.189719,-18.939796,67.748314,-4.3225684,-1.7411923,-4.2542334,0.2080599,-9.702623,6.393171,62.621193,-15.733004,0.84229493,-5.0698476
2,-0.0574483759701252,2.041325807571411,78.41719818115234,0.018664943696014357,0.025752079532716222,-88.71266770740351,0.8782551,2.4453013,8.616704,8.210774,-9.3515005,-1.8919091,1.1715629,-2.8005793,-6.8832498,8.515335,-10.613573,2.259771,-1.522316,1.89654,5.0796347,0.43985692,11.194844,-18.949984,67.7484,-4.360142,-1.7455052,-4.24813,0.20279329,-9.701266,6.397639,62.63006,-15.754015,0.83628994,-5.074113
3,-0.05918538570404053,2.0416877269744873,78.41566467285156,0.019759139734037746,0.020229166624133654,-88.71435880133302,0.88264334,2.4460394,8.616211,8.2161455,-9.355733,-1.8885264,1.1782656,-2.8001046,-6.8829436,8.515365,-10.615853,2.262048,-1.5281609,1.8920285,5.0843587,0.44995514,11.2080765,-18.970499,67.74353,-4.4021726,-1.7480307,-4.243144,0.19927704,-9.697709,6.4022646,62.640522,-15.76825,0.83067423,-5.0795994
4,-0.061845798045396805,2.042001724243164,78.4134521484375,0.01947665254158058,0.016279306790050758,-88.71624330156871,0.8870348,2.4466136,8.616882,8.218117,-9.357925,-1.8863797,1.1834948,-2.799721,-6.8818326,8.515008,-10.617169,2.263057,-1.5322632,1.8924472,5.087826,0.45472157,11.212172,-18.975441,67.74681,-4.421882,-1.7477403,-4.2406683,0.19975252,-9.696659,6.4027286,62.64371,-15.778768,0.82744396,-5.0839972
5,-0.0619509257376194,2.0405545234680176,78.41168975830078,0.01940727963840818,0.013972592283381689,-88.71827713732495,0.8903068,2.4474804,8.61914,8.219537,-9.359508,-1.8857995,1.1865113,-2.7989237,-6.879663,8.51566,-10.617742,2.2620294,-1.5273113,1.8950064,5.085708,0.46557432,11.22017,-18.98318,67.74523,-4.431771,-1.7419233,-4.241815,0.20752957,-9.694386,6.3994184,62.64218,-15.77741,0.8277761,-5.0888147
6,-0.06250292807817459,2.039104461669922,78.41082763671875,0.019858398840943453,0.012923468763308884,-88.7202961572638,0.8923276,2.4483993,8.622325,8.22156,-9.361555,-1.8863271,1.1868067,-2.7982373,-6.876859,8.519481,-10.619229,2.2596185,-1.5197028,1.8999498,5.08058,0.47149065,11.2259035,-18.983423,67.75244,-4.4285297,-1.7341243,-4.2458344,0.21458037,-9.692295,6.3944592,62.641716,-15.768498,0.83062243,-5.093521
7,-0.06093793362379074,2.0373148918151855,78.41165161132812,0.019370293432422952,0.01294559843481379,-88.72213158564969,0.89427775,2.4491444,8.625625,8.220574,-9.361443,-1.887665,1.185829,-2.7977173,-6.874089,8.522942,-10.620137,2.2569668,-1.5122815,1.9070679,5.0747776,0.47781286,11.228055,-18.982132,67.75995,-4.4187512,-1.725331,-4.2496967,0.22212154,-9.691415,6.3908916,62.638577,-15.75573,0.8324487,-5.098037
8,-0.06109754741191864,2.0373997688293457,78.41361236572266,0.019094399705259855,0.013915358050583405,-88.7237157049148,0.8955335,2.4498973,8.627915,8.219409,-9.361587,-1.8895948,1.1857119,-2.7968726,-6.872327,8.523519,-10.620536,2.255142,-1.503346,1.9105526,5.0666914,0.488241,11.234739,-18.979279,67.765045,-4.39878,-1.7175273,-4.2567205,0.23805329,-9.6886215,6.3787823,62.628418,-15.747187,0.8286867,-5.0994906
9,-0.062421225011348724,2.035214900970459,78.41455841064453,0.017843866350749207,0.016020073702191343,-88.72401017460133,0.8959003,2.451091,8.6277895,8.217007,-9.36101,-1.8930464,1.1843882,-2.7955194,-6.8731146,8.523598,-10.621031,2.2541711,-1.5017146,1.9138055,5.0611377,0.49710515,11.241978,-18.978817,67.771545,-4.374845,-1.7118624,-4.2627554,0.2464373,-9.685654,6.36998,62.620945,-15.73544,0.8154022,-5.10054
10,-0.06157318875193596,2.0331671237945557,78.416015625,0.017574774370124276,0.01953261816139262,-88.72372468668391,0.89452213,2.4528089,8.626261,8.214503,-9.359997,-1.8978572,1.1840146,-2.7935004,-6.8755,8.519558,-10.620093,2.2535322,-1.5042677,1.9174235,5.0531917,0.5056889,11.246955,-18.978592,67.782585,-4.344439,-1.7073065,-4.269791,0.2486408,-9.6836405,6.3644667,62.620388,-15.718107,0.79482466,-5.101341
11,-0.06288297474384308,2.0302515029907227,78.41594696044922,0.016401776422897998,0.022393079734007663,-88.72263293123511,0.89371103,2.454025,8.624115,8.211973,-9.359171,-1.901997,1.1843457,-2.7917602,-6.8782578,8.515395,-10.619327,2.253593,-1.5072101,1.9166449,5.0477457,0.51719916,11.260643,-18.978586,67.78867,-4.318183,-1.7058377,-4.276932,0.24903537,-9.677829,6.357378,62.61944,-15.70389,0.7746277,-5.099538
12,-0.0625123530626297,2.0278820991516113,78.41590881347656,0.01547929522276604,0.022672441561016284,-88.72110677656265,0.89510083,2.4542239,8.622337,8.210992,-9.359881,-1.9033363,1.186183,-2.7914522,-6.879834,8.514899,-10.621336,2.2548046,-1.5110794,1.9201996,5.0453725,0.5224016,11.263256,-18.978106,67.803085,-4.3068137,-1.7094632,-4.274881,0.24863344,-9.676769,6.3562427,62.61708,-15.695323,0.7649345,-5.097212
13,-0.06367380172014236,2.025893449783325,78.41419982910156,0.016978453749936555,0.018588626559756787,-88.71833947735081,0.89916563,2.4527636,8.620383,8.214112,-9.363627,-1.9002569,1.1937144,-2.7926598,-6.880267,8.512923,-10.623397,2.2578712,-1.5140185,1.918615,5.0472827,0.53135115,11.269127,-18.974178,67.817535,-4.313129,-1.726495,-4.2665997,0.24965008,-9.674319,6.3538413,62.612675,-15.6991005,0.7648956,-5.0865703
14,-0.06384479999542236,2.023470878601074,78.41292572021484,0.01867261780238708,0.011539857870305828,-88.71494492526172,0.9059751,2.4501615,8.618556,8.218223,-9.3686495,-1.8942534,1.2030818,-2.7950628,-6.879551,8.514171,-10.627764,2.2622652,-1.5173292,1.9153273,5.0552034,0.53862375,11.276859,-18.968111,67.83219,-4.334648,-1.750427,-4.2531605,0.24956755,-9.670919,6.352911,62.604336,-15.71093,0.7739781,-5.072405
15,-0.06396462768316269,2.0232295989990234,78.41150665283203,0.021402926381722958,0.004596400656641272,-88.71107713493089,0.91209507,2.4474773,8.616459,8.223272,-9.374108,-1.8879502,1.2124363,-2.797877,-6.8792276,8.515396,-10.632176,2.2669082,-1.5219266,1.9110386,5.0646057,0.548803,11.287294,-18.961634,67.84038,-4.3588104,-1.7727675,-4.2380176,0.24745221,-9.666313,6.355001,62.597076,-15.724601,0.78516626,-5.059357
16,-0.06485457718372345,2.0240116119384766,78.41017150878906,0.02280407976699939,0.0017816878351969373,-88.70750347240744,0.9148103,2.445358,8.614477,8.225582,-9.377168,-1.8839796,1.2175093,-2.7999437,-6.8802786,8.515768,-10.634981,2.2704651,-1.5218829,1.9122878,5.0680943,0.55160296,11.289362,-18.961266,67.852554,-4.372202,-1.7840253,-4.2245693,0.24627446,-9.665506,6.356301,62.595867,-15.732928,0.79121375,-5.0533504
17,-0.06431686133146286,2.0227463245391846,78.41094970703125,0.02297599765870882,0.0034198427221424745,-88.70331070707974,0.9141875,2.4439263,8.611931,8.22418,-9.377192,-1.8834869,1.2193351,-2.801449,-6.8841863,8.512706,-10.634799,2.2730434,-1.5274092,1.906149,5.0669856,0.56446946,11.310122,-18.96868,67.84864,-4.3848505,-1.7837734,-4.2122984,0.23831582,-9.657944,6.3725066,62.60501,-15.733835,0.795996,-5.0541525
18,-0.06287897378206253,2.0206730365753174,78.41216278076172,0.022878590658670914,0.009158403865729947,-88.69915099035983,0.9090644,2.4429412,8.609398,8.222454,-9.376122,-1.8848388,1.2165917,-2.802554,-6.889466,8.509587,-10.63343,2.2751782,-1.5270691,1.9054251,5.061056,0.56960684,11.324371,-18.98378,67.847435,-4.3889604,-1.7724719,-4.198654,0.23128302,-9.65366,6.3868227,62.619247,-15.733649,0.7990477,-5.060799
19,-0.06190203130245209,2.0175657272338867,78.4140853881836,0.022724534241077725,0.01508566241803361,-88.69505398028663,0.9054291,2.4420555,8.606716,8.217208,-9.373289,-1.8868582,1.2138406,-2.8035676,-6.8950796,8.506125,-10.631839,2.2763493,-1.5254439,1.9038255,5.05504,0.57910573,11.34289,-19.002348,67.8385,-4.3941126,-1.7588484,-4.1899877,0.22621258,-9.648655,6.401424,62.63249,-15.72666,0.7969437,-5.0698586
