Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.23939749598503113,1.8140878677368164,77.48670196533203,0.21381085619822257,-1.300610526689744,-91.52041705789473,3.7563498,4.7127137,7.7874045,10.276387,-11.570239,-4.3863354,5.8852963,-8.08828,-19.14401,9.679456,-14.316792,8.399608,-3.415905,-0.5033073,10.804481,-1.4908161,15.83792,-38.159573,49.92992,11.320444,3.2655802,-0.10037913,-5.3150444,-8.516096,28.727385,57.00027,-11.119764,-3.874386,-3.3258898
1,0.2419164627790451,1.807018756866455,77.47831726074219,0.20832132923539326,-1.2971660822315092,-91.53415317870935,3.6247346,4.730221,7.7748766,10.553179,-11.713615,-4.373553,5.8968353,-8.08062,-19.126066,9.637141,-14.320473,8.430266,-3.4231808,-0.5046562,10.839484,-1.4541421,15.853148,-38.07777,49.828114,11.374087,3.24985,-0.14668943,-5.345962,-8.512664,28.673935,56.996113,-11.151603,-3.8649182,-3.3472056
2,0.24686580896377563,1.8074220418930054,77.46678924560547,0.2016868905965629,-1.2964532710295582,-91.55250951163542,3.499634,4.7487087,7.7653337,10.82381,-11.853848,-4.365314,5.908715,-8.0714245,-19.10094,9.595634,-14.324231,8.458243,-3.438222,-0.51036525,10.888061,-1.4051383,15.88608,-37.96045,49.703815,11.449489,3.2326095,-0.2074446,-5.390011,-8.50593,28.624376,56.991947,-11.19106,-3.8553424,-3.365179
3,0.26058992743492126,1.8125571012496948,77.45578002929688,0.194661531308017,-1.2906309486443444,-91.56175636152575,3.360617,4.765429,7.749624,11.11036,-12.002456,-4.347502,5.9200053,-8.065985,-19.089891,9.552962,-14.327774,8.4916935,-3.4561567,-0.5129934,10.920876,-1.3622124,15.905328,-37.871906,49.595814,11.498407,3.21441,-0.25065574,-5.422325,-8.502816,28.573648,56.9879,-11.221998,-3.8469439,-3.384439
4,0.27405086159706116,1.8152660131454468,77.44501495361328,0.18796455432590248,-1.2725495864401248,-91.54807476808774,3.1882827,4.777622,7.718645,11.43505,-12.1712675,-4.306297,5.9332056,-8.068656,-19.114582,9.500893,-14.327144,8.538655,-3.5129511,-0.5161307,10.939161,-1.2880914,15.936212,-37.778797,49.451088,11.514494,3.1914847,-0.2724384,-5.4585257,-8.499624,28.519464,56.98996,-11.251525,-3.8446424,-3.3950546
5,0.2933890223503113,1.8159207105636597,77.43492126464844,0.18023342429301126,-1.2343797882717633,-91.50354155630038,2.9626791,4.7873254,7.6668878,11.819761,-12.3719635,-4.235234,5.9455476,-8.078369,-19.19027,9.434521,-14.322023,8.601053,-3.6097882,-0.5158864,10.92539,-1.1896206,15.965372,-37.708595,49.286037,11.460223,3.161902,-0.2455436,-5.4881597,-8.498791,28.460358,57.000587,-11.279726,-3.8510427,-3.3943565
6,0.31580424308776855,1.8043200969696045,77.42469024658203,0.1707875058970845,-1.182284912906431,-91.43701979455508,2.7010722,4.7944756,7.600307,12.243312,-12.592887,-4.1432495,5.9595256,-8.092549,-19.302578,9.353115,-14.310881,8.674528,-3.7383535,-0.51668817,10.8972845,-1.0565089,16.0183,-37.64385,49.07197,11.358648,3.1279745,-0.19000132,-5.5155063,-8.500094,28.394676,57.0096,-11.309944,-3.8644469,-3.382446
7,0.34403711557388306,1.7844035625457764,77.4174575805664,0.16376094011706502,-1.1284433888852958,-91.3596418972011,2.4347117,4.7926655,7.527032,12.672514,-12.816507,-4.038852,5.9730096,-8.1173315,-19.427088,9.282001,-14.303855,8.75786,-3.876337,-0.520077,10.8641405,-0.90855664,16.086681,-37.59763,48.835464,11.247907,3.0950627,-0.13601455,-5.5331755,-8.5062275,28.323921,57.0103,-11.326089,-3.8780727,-3.3737438
8,0.3775523602962494,1.7566760778427124,77.40869140625,0.1620775363395534,-1.0851521709579302,-91.28248812860488,2.1974344,4.7758617,7.45534,13.069989,-13.023473,-3.9303327,5.9892735,-8.156845,-19.539982,9.234405,-14.304135,8.849827,-4.004425,-0.5266711,10.836936,-0.76802576,16.154787,-37.572136,48.609417,11.174244,3.067632,-0.11614073,-5.5416718,-8.52081,28.24837,57.002254,-11.314582,-3.885627,-3.3808002
9,0.4148652255535126,1.7349952459335327,77.39962005615234,0.16269429696337806,-1.0530846934392177,-91.20323524588109,1.9861066,4.7459807,7.3834586,13.443629,-13.214076,-3.8162153,6.0160427,-8.206828,-19.640676,9.196765,-14.304938,8.95176,-4.1245975,-0.5320681,10.8145075,-0.6384292,16.219284,-37.568718,48.398846,11.154143,3.0467465,-0.14973924,-5.535903,-8.545775,28.169117,56.97622,-11.258375,-3.8829052,-3.4148908
10,0.45890864729881287,1.7158221006393433,77.39092254638672,0.16454438490156717,-1.0265129332487093,-91.11763635486511,1.7882222,4.705148,7.3084617,13.804589,-13.395351,-3.693124,6.0513062,-8.266046,-19.740387,9.163112,-14.304351,9.063822,-4.246828,-0.5349585,10.788239,-0.5193484,16.269386,-37.583458,48.211166,11.16559,3.0290797,-0.21429217,-5.5225444,-8.575579,28.088448,56.94648,-11.169164,-3.874131,-3.467896
11,0.5088992118835449,1.6817941665649414,77.38409423828125,0.1737878489733642,-1.0081583079868444,-91.03406195752153,1.6156522,4.6486254,7.2360563,14.135847,-13.566436,-3.5661018,6.0755124,-8.345946,-19.831625,9.177495,-14.324434,9.183321,-4.3534427,-0.5432495,10.773162,-0.4015379,16.329592,-37.622078,48.014385,11.184945,3.0150058,-0.28426415,-5.4909215,-8.625816,27.994278,56.895123,-11.076801,-3.8654954,-3.5163836
12,0.5660514831542969,1.6588280200958252,77.37413787841797,0.1934043078733742,-1.0008478358760589,-90.96083900518168,1.4875996,4.5705385,7.172816,14.40586,-13.718484,-3.4398506,6.071813,-8.457216,-19.907583,9.276631,-14.38199,9.307844,-4.4407845,-0.5640444,10.769582,-0.29596865,16.379866,-37.67614,47.836044,11.198795,3.0026653,-0.32966122,-5.4562063,-8.685962,27.889688,56.853386,-11.013756,-3.862953,-3.5445771
13,0.6251940727233887,1.6307568550109863,77.36323547363281,0.22410547902348354,-1.0083904854779286,-90.90626829635447,1.4089197,4.473529,7.1245847,14.616217,-13.854992,-3.3136837,6.0425034,-8.597548,-19.963398,9.458129,-14.476795,9.436668,-4.49493,-0.59713215,10.785498,-0.20610692,16.42002,-37.75387,47.677837,11.195897,2.989633,-0.3310426,-5.416299,-8.760388,27.773045,56.816456,-10.989975,-3.871006,-3.5436387
